ID_Ticket,Data_Retorno,Modelo,Capacidade,Tipo,Sintoma_Cliente,Diagnostico_Tecnico,Status_Garantia
RMA-001,2026-01-01,Corsair Dominator,64GB,DDR5,Erro no MemTest86,Degradação de chip (SPD),Aprovado
RMA-002,2026-01-01,Kingston Fury,8GB,DDR5,Congelamento aleatório,Falha no endereçamento de bits,Aprovado
RMA-003,2026-01-01,Corsair Vengeance,32GB,DDR4,Erro no MemTest86,Degradação de chip (SPD),Aprovado (Limpeza)
RMA-004,2026-01-01,Crucial Pro,16GB,DDR5,Frequência instável,Falha no endereçamento de bits,Rejeitado (Dano Físico)
RMA-005,2026-01-03,TeamGroup T-Force,32GB,DDR5,Sistema não liga,Capacitor SMD ausente,Aprovado
RMA-006,2026-01-03,ADATA XPG,32GB,DDR4,Frequência instável,Pinos de contato oxidados,Aprovado
RMA-007,2026-01-03,Corsair Dominator,64GB,DDR4,Não reconhece dual channel,Falha térmica em carga alta,Rejeitado (Modificação)
RMA-008,2026-01-03,Corsair Vengeance,16GB,DDR5,Artefatos no vídeo (iGPU),Incompatibilidade de firmware,Rejeitado (Dano Físico)
RMA-009,2026-01-05,Patriot Viper,32GB,DDR5,Blue Screen (BSOD),Falha no barramento de dados,Aprovado
RMA-010,2026-01-05,Crucial Pro,16GB,DDR4,Reinicialização súbita,Perfil XMP corrompido,Rejeitado (Dano Físico)
RMA-011,2026-01-05,Crucial Pro,16GB,DDR4,Luz de erro na placa-mãe,Falha no endereçamento de bits,Aprovado
RMA-012,2026-01-07,Crucial Basics,64GB,DDR4,Luz de erro na placa-mãe,Falha no barramento de dados,Aprovado
RMA-013,2026-01-07,Corsair Vengeance,8GB,DDR4,Frequência instável,Perfil XMP corrompido,Aprovado
RMA-014,2026-01-07,ADATA XPG,32GB,DDR4,Erro no MemTest86,Falha térmica em carga alta,Aprovado
RMA-015,2026-01-07,Kingston Fury,8GB,DDR4,Congelamento aleatório,Perfil XMP corrompido,Aprovado
RMA-016,2026-01-07,Patriot Viper,32GB,DDR5,Não reconhece dual channel,Falha no barramento de dados,Aprovado
RMA-017,2026-01-08,Patriot Viper,32GB,DDR4,Frequência instável,Perfil XMP corrompido,Aprovado (Limpeza)
RMA-018,2026-01-08,Crucial Basics,16GB,DDR5,Erro no MemTest86,Falha térmica em carga alta,Aprovado
RMA-019,2026-01-08,Patriot Viper,32GB,DDR4,Não reconhece dual channel,Falha no barramento de dados,Rejeitado (Dano Físico)
RMA-020,2026-01-08,Kingston Fury,64GB,DDR5,Frequência instável,Falha no barramento de dados,Rejeitado (Modificação)
RMA-021,2026-01-09,Crucial Basics,16GB,DDR4,Não reconhece dual channel,Erro de paridade ECC,Aprovado
RMA-022,2026-01-10,TeamGroup T-Force,16GB,DDR5,Artefatos no vídeo (iGPU),Degradação de chip (SPD),Rejeitado (Dano Físico)
RMA-023,2026-01-10,Crucial Pro,64GB,DDR4,Reinicialização súbita,Perfil XMP corrompido,Aprovado
RMA-024,2026-01-10,ADATA XPG,64GB,DDR4,Artefatos no vídeo (iGPU),Erro de paridade ECC,Aprovado (Limpeza)
RMA-025,2026-01-11,Kingston Fury,32GB,DDR4,Luz de erro na placa-mãe,Pinos de contato oxidados,Aprovado
RMA-026,2026-01-11,Crucial Pro,32GB,DDR4,Erro no MemTest86,Perfil XMP corrompido,Rejeitado (Dano Físico)
RMA-027,2026-01-12,ADATA XPG,8GB,DDR4,Erro no MemTest86,Capacitor SMD ausente,Aprovado
RMA-028,2026-01-12,Patriot Viper,16GB,DDR5,Luz de erro na placa-mãe,Perfil XMP corrompido,Aprovado
RMA-029,2026-01-12,Corsair Dominator,8GB,DDR5,Artefatos no vídeo (iGPU),Degradação de chip (SPD),Aprovado
RMA-030,2026-01-12,Corsair Dominator,16GB,DDR4,Frequência instável,Curto-circuito no PCB,Aprovado (Limpeza)
RMA-031,2026-01-13,Corsair Dominator,64GB,DDR4,Congelamento aleatório,Erro de paridade ECC,Aprovado
RMA-032,2026-01-13,Kingston Fury,32GB,DDR5,Reinicialização súbita,Falha no barramento de dados,Rejeitado (Modificação)
RMA-033,2026-01-14,Patriot Viper,8GB,DDR4,Congelamento aleatório,Falha no endereçamento de bits,Aprovado
RMA-034,2026-01-14,TeamGroup T-Force,8GB,DDR5,Não reconhece dual channel,Falha no barramento de dados,Rejeitado (Dano Físico)
RMA-035,2026-01-14,ADATA XPG,16GB,DDR5,Frequência instável,Falha no endereçamento de bits,Rejeitado (Dano Físico)
